"","1003","1004","1005","1006","1007","1008","1010","1011","1015","1018","1020","1032","1033","1202","1204","1205","1207","1208","1209","1212","1213","1216","1219","1226","1227","1228","1232","1242","1245","1260","1262","1290","1348","1400","1470","1630","1700","1752","1820","1870","2000","2114","2300","2416","2800","2900"
"1003",0,2.33249,1.03888,1.48961,1.97173,5.45286,4.18513,1.80135,4.45097,3.03604,4.08459,6.52781,9.04272,61.4157,64.24029,64.72135,64.37955,64.82316,64.11777,73.69151,65.89415,61.39559,63.73974,67.93359,74.35155,71.1737,69.16211,68.38873,70.94742,41.72831,42.56752,50.89381,46.60873,40.41332,56.60121,49.23744,77.91151,73.17304,29.23344,51.60263,71.97863,64.11894,91.85834,100.3683,141.30889,147.49627
"1004",2.40019,0,3.0138,3.46453,2.51594,3.99668,7.82729,3.77627,5.08358,2.24313,3.42212,5.6223,7.58655,61.78161,64.6062,65.08725,64.74545,65.18906,64.48367,74.05741,66.26005,61.76149,64.10564,68.29949,74.71745,71.5396,69.52801,68.75463,71.31333,42.09421,42.93343,51.25971,46.97463,40.77922,56.96712,51.419,80.09307,75.3546,31.415,53.78419,72.34453,64.48484,92.22425,100.7342,141.6748,147.86217
"1005",1.07458,3.04456,0,1.4865,2.96716,6.16493,3.97554,1.59176,5.44641,3.54081,4.85979,7.03258,9.27634,62.41114,65.23573,65.71678,65.37498,65.8186,65.11321,74.68695,66.88959,62.39102,64.73518,68.92902,75.34699,72.16914,70.15755,69.38416,71.94286,42.72375,43.56296,51.88925,47.60417,41.40875,57.59665,49.02785,77.70191,72.96345,29.02385,51.39304,72.97407,65.11437,92.85378,101.36373,142.30433,148.4917
"1006",1.5253,3.49529,1.59487,0,2.397,6.61566,4.94025,2.55647,5.42909,4.13608,5.31052,7.62785,12.71654,62.04463,64.86922,65.35027,65.00847,65.45209,64.7467,74.32044,66.52308,62.02451,64.36867,68.56252,74.98048,71.80263,69.79103,69.01766,71.57635,42.35723,43.19645,51.52273,47.23766,41.04224,57.23014,46.54856,75.22263,70.48416,26.54456,48.91375,72.60755,64.74786,92.48727,100.99723,141.93781,148.1252
"1007",2.20341,2.54754,3.10469,2.61804,0,5.66792,6.25094,3.86716,3.20035,4.30064,3.98651,7.29353,10.48779,59.81588,62.64047,63.12153,62.77973,63.22334,62.51795,72.0917,64.29433,59.79577,62.13992,66.33377,72.75173,69.57388,67.56229,66.78891,69.34761,40.12849,40.9677,49.29399,45.00891,38.8135,55.00139,60.82917,89.50323,84.76476,40.82516,63.19435,70.37881,62.51912,90.25852,98.76848,139.70908,145.89645
"1008",5.60546,4.03688,6.21908,6.66981,5.66383,0,8.36653,8.13713,5.61668,4.86148,3.10947,3.51712,4.93902,59.71091,62.5355,63.01656,62.67476,63.11837,62.41298,71.98673,64.18936,59.6908,62.03495,66.2288,72.64677,69.46891,67.45732,66.68395,69.24264,40.02352,40.86273,49.18902,44.90394,35.85765,52.04555,51.95825,80.63231,75.89384,31.95424,54.32344,67.42297,59.56327,87.30268,95.81263,136.75323,142.94061
"1010",4.61754,6.58752,3.36329,4.63832,6.58012,8.39614,0,2.71683,17.04147,7.17458,9.7274,7.81431,10.05807,68.26322,71.0878,71.56886,71.22705,71.67067,70.96528,80.53902,72.74166,68.2431,70.58726,74.7811,81.19906,78.02121,76.00962,75.23624,77.79494,48.57582,49.41504,57.74132,53.45624,41.74684,57.93475,47.51175,76.18581,71.44734,27.50774,49.87693,73.31216,65.45246,93.19188,101.70183,142.64242,148.8298
"1011",1.93173,3.90171,1.30466,2.4481,3.82431,7.02208,3.09336,0,6.30356,3.91692,5.71695,7.99723,10.24099,68.44613,71.27073,71.75178,71.40998,71.85359,71.1482,80.72195,72.92459,68.42602,70.77017,74.96402,81.38198,78.20413,76.19254,75.41916,77.97786,48.75874,49.59795,57.92424,53.63916,41.92977,58.11766,47.69466,76.36873,71.63026,27.69066,50.05985,73.49508,65.63538,93.3748,101.88475,142.82534,149.01272
"1015",4.69727,5.03672,5.59855,5.97794,3.55231,5.51668,16.47493,6.36102,0,6.78982,2.34913,8.11716,9.72527,59.05336,61.87795,62.35901,62.01721,62.46082,61.75543,71.32917,63.53181,59.03325,61.3774,65.57125,71.98921,68.81136,66.79977,66.02639,68.58509,39.36597,40.20518,48.53147,44.24639,38.05098,54.23888,60.06665,88.74071,84.00224,40.06264,62.43183,69.6163,61.7566,89.49601,98.00596,138.94655,145.13394
